S.No,Institute Code,Institute Name,Place,Dist. Name,Region,College Type,Minority,Co- Educ.,Affil. to,Branch Code,fee,Convener Seats,Updated_Fee_2026
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,,COED,JNTUH,CSE,48000,42,45000
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,,COED,JNTUH,CSM,48000,42,45000
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,,COED,JNTUH,ECE,48000,42,45000
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,,COED,JNTUH,EEE,48000,42,45000
5,AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,OU,PVT,,COED,JNTUH,MEC,48000,42,45000
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,CIV,82000,42,110000
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,CSD,82000,42,110000
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,CSE,82000,126,110000
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,CSM,82000,42,110000
10,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,CSO,82000,42,110000
11,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,ECE,82000,84,110000
12,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,EEE,82000,42,110000
13,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,INF,82000,42,110000
14,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,,COED,JNTUH,MEC,82000,42,110000
15,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,,COED,JNTUH,CIV,66000,21,75000
16,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,,COED,JNTUH,CSE,66000,84,75000
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,,COED,JNTUH,ECE,66000,42,75000
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,,COED,JNTUH,EEE,66000,42,75000
19,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,OU,PVT,,COED,JNTUH,MEC,66000,42,75000
