INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED,Year,Phase,TSEAMCET (BiPC) -2023 LAST RANK STATEMENT FINAL  PHASE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,TSEAMCET(BiPC)-2023 LAST RANK STATEMENT FIRST PHASE,TGEAPCET(Bi.P.C)-2024 LAST RANK STATEMENT FINAL PHASE,Unnamed,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17,Unnamed_18,Unnamed_19,Unnamed_20,Unnamed_21,Unnamed_22,Unnamed_23,Unnamed_24,Unnamed_25,Unnamed_26,Unnamed_27,KUCP,K U COLLEGE OF PHARMACEUTICAL SCIENCES,WARANGAL,HNK,UNIV,1974,PHB,B. PHARMACY,11340,11340_1,14541,19635,17389,17389_1,11340_2,11340_3,14218,14218_1,25480,32025,24433,24433_1,21798,21798_1,27674,27674_1,45000,KU,TRNP,TRINITY COLLEGE OF PHARMACY,PEDDAPALLY,PDL,PVT,2004,50833,50833_1,72360,72360_1,71057,71057_1,50833_2,50833_3,67548,67548_1,56408,56408_1,69400,69400_1,79373,79373_1,59417,59417_1,60000,SVHU,TGEAPCET (Bi.P.C)-2024 LAST RANK STATEMENT FIRST PHASE,20710,20710_1,17442,17442_1,25480_1,17443,17443_1,19479,19479_1,TRPM,TEEGALA RAMI REDDY COLL OF PHARMACY,MIRPET,RR,2006,PDB,PHARM - D (Bi.,15426,15426_1,28657,34237,24541,24541_1,15426_2,15426_3,22370,22370_1,19160,19160_1,22338,22338_1,25546,35913,18014,18898,68000,JNTUH,Inst Code,Institute Name,Place,Dist Code,Co Education,College Type,Year of Estab,Branch Code,Branch Name,Tuition Fee,Affiliated To
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SRP,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),11151,11151,23858,26326,16962,18036,11151,11151,11151,15955,17838,17838,18582,19631,20898,20898,21074,21458,68000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SRP,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),9014,16231,37484,49065,38452,38452,28122,28122,27422,27422,30823,30823,37017,37243,27415,27415,33628,33628,65000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),13315,13315,13315,13315,25042,25042,13315,13315,19714,19714,14218,14218,27843,27843,13315,23457,21899,21899,68000,OU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SRD,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),24592,24592,42405,42405,35468,37020,62313,62313,30563,31759,29202,34241,36426,36426,29477,29477,51621,51621,45000,OU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RR,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),10649,10928,18545,18545,10771,13150,10649,10928,13452,13452,12676,12676,16307,20367,20429,23202,16559,16559,75000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RR,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),14905,15293,39760,39760,30571,30571,32122,32122,22544,22544,31892,31892,32582,32582,30082,30082,37901,37901,55000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIPS,BALAJI INST OF PHARM SCI,NARSAMPET,WGL,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),11567,12924,22113,22113,23596,23596,11567,12924,14199,15664,11567,12924,23512,23512,24552,32241,31611,31611,68000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIPS,BALAJI INST OF PHARM SCI,NARSAMPET,WGL,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),29508,29508,48339,50325,37384,37384,35061,35061,35050,35050,35943,35943,41752,41752,36435,36472,57987,57987,45000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIPT,BHARAT SCHOOL OF PHARMACY,IBRAHIMPATAN,RR,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),9227,9227,9227,17758,15055,15395,14138,14138,9227,15295,11814,11814,18114,18627,19125,19125,15745,17571,80000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIPT,BHARAT SCHOOL OF PHARMACY,IBRAHIMPATAN,RR,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),20514,20514,35328,35328,27772,29844,20514,20514,26463,26463,25184,25184,34299,34299,30382,31583,33036,33036,60000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
